Id;AgeId;EducationId;RaceId;GenderId;IncomeId;Children;EmploymentId;American;Indian;Chinese;Filipino;Japanese;Korean;Vietnamese;Asian;Hawaiian;Guamanian;Samoan;PacificIslander;OtherRace;PoliticsId;ReligionId;Marriage;Lover;GenderPart;SameGender;RacePart;ReligionPart;AgePart;PoliticsPart;EducationPart;AmountMarriageId;AmountMarriageId2;AgeFirstMeet;AgeRomRel;AgeMar;EarnedMore;Work;School;Church;Internet;Vacation;Bar;Gym;PrivParty;OtherPlace;Quality;Duration;Together;AGeId;SameSex;age_difference;samesexnum;earnedmorenum;raceidnum;racepartnum;religionidnum;educationpartnum;educatidnum
22526;45-59;bachelor's degree or higher;hispanic;female;$20,000 to $24,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;not married;have_sex;female;same_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);48;democrat;associate degree;NA;once;45;45;NA;partner earned more;no;no;no;yes;no;no;no;no;no;good;7;still together;52;same-sex couple;4;0;1;2;1;1;3;3
23286;18-29;bachelor's degree or higher;white;female;$40,000 to $49,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;jewish;married;NA;female;same_sex;white;none;30;democrat;bachelor's degree;1;NA;19;20;23;i earned more;no;yes;no;no;no;no;no;no;no;good;8;still together;28;same-sex couple;2;0;3;1;1;4;3;3
26315;30-44;some college;white;male;$40,000 to $49,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;other non-christian, please specify:;not married;have_sex;male;same_sex;white;other non-christian, please specify;40;democrat;hs graduate or ged;NA;never married;23;23;NA;i earned more;no;no;no;no;no;no;no;no;yes;good;8;broke up;31;same-sex couple;;0;3;1;1;6;3;2
28536;45-59;bachelor's degree or higher;white;male;$125,000 to $149,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;same_sex;white;none;55;democrat;master's degree;NA;never married;41;41;NA;i earned more;no;no;no;no;no;no;no;no;yes;good;12;still together;53;same-sex couple;9;0;3;1;1;2;3;3
29584;45-59;bachelor's degree or higher;white;male;$15,000 to $19,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);married;NA;female;opposite_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);51;democrat;master's degree;1;NA;28;28;30;partner earned more;yes;no;no;no;no;no;no;no;no;good;30;still together;58;different sex couple;;1;1;1;1;2;3;3
33536;45-59;bachelor's degree or higher;white;male;$175,000 or more;2;working - self-employed;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;same_sex;black or african american;protestant (e.g. methodist, lutheran, presbyterian, episcopal);44;democrat;master's degree;NA;never married;38;38;NA;same amount;no;no;no;no;no;yes;no;no;no;excellent;15;still together;53;same-sex couple;;0;2;1;3;2;3;3
34341;30-44;bachelor's degree or higher;white;female;$75,000 to $84,999;1;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;other non-christian, please specify:;married;NA;male;opposite_sex;white;other non-christian, please specify;34;independent;bachelor's degree;1;NA;18;20;23;i earned more;no;yes;no;no;no;no;no;no;no;excellent;14;still together;34;different sex couple;2;1;3;1;1;6;3;3
35653;60+;bachelor's degree or higher;white;male;$40,000 to $49,999;2;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;not married;have_sex;male;same_sex;white;other non-christian, please specify;50;democrat;some college, no degree;NA;never married;51;51;NA;partner earned more;no;no;no;yes;no;no;no;no;no;excellent;14;broke up;65;same-sex couple;7;0;1;1;1;1;2;3
36493;45-59;bachelor's degree or higher;white;male;$40,000 to $49,999;3;working - as a paid employee;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;protestant (e.g., methodist, lutheran, presbyterian, episcopal);not married;have_sex;male;same_sex;white;protestant (e.g. methodist, lutheran, presbyterian, episcopal);46;democrat;bachelor's degree;NA;once;49;49;NA;partner earned more;no;no;no;yes;no;no;no;no;no;fair;0;broke up;49;same-sex couple;;0;1;1;1;2;3;3
38895;60+;some college;white;male;$12,500 to $14,999;1;retired;no;no;no;no;no;no;no;no;no;no;no;no;no;democrat;christian;not married;have_sex;male;same_sex;white;other non-christian, please specify;52;no preference;bachelor's degree;NA;never married;70;70;NA;partner earned more;no;no;no;yes;no;no;no;no;no;good;19;still together;89;same-sex couple;0;0;1;1;1;1;3;2
