"Id","EducationId","RaceId","GenderId","Income","Children","EmploymentId","PoliticsId","ReligionId","Marriage","GenderPart","RacePart","ReligionPart","AgePart","PoliticsPart","EducationPart","AgeFirstMeet","AgeRomRel","EarnedMore","Work","School","Church","Internet","Vacation","Bar","Gym","PrivParty","OtherPlace","Quality","Duration","Together","AGeId","SameSex","age_difference"
"36493","bachelor's degree or higher","white","male","45.0","3","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","46","democrat","bachelor's degree or higher ","49","49","partner earned more","no","no","no","yes","no","no","no","no","no","fair","0","broke up","49","same-sex couple","3"
"54415","less than high school","white","female","27.5","2","working - as a paid employee","republican","jewish","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","48","other","bachelor's degree or higher ","41","41","partner earned more","no","no","no","yes","no","no","no","no","no","good","0","broke up","41","different sex couple","7"
"60743","bachelor's degree or higher","white","male","55.0","1","retired","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","58","democrat","bachelor's degree or higher ","73","74","same amount","no","no","yes","no","no","no","no","no","no","good","0","broke up","74","different sex couple","16"
"62283","some college","white","female","37.5","1","working - as a paid employee","republican","christian","not married","male","white","none","28","republican","some college","26","27","partner earned more","yes","no","no","no","no","no","no","no","no","good","1","broke up","28","different sex couple","0"
"65446","some college","white","female","45.0","1","working - as a paid employee","democrat","christian","not married","female","white","none","41","democrat","bachelor's degree or higher ","43","43","partner earned more","no","no","no","no","no","no","no","no","yes","excellent","1","broke up","44","same-sex couple","3"
"66484","some college","white","male","8.7","1","disabled","democrat","none","not married","female","white","none","38","other","some college","47","47","partner earned more","no","no","no","no","no","no","yes","no","no","good","1","broke up","48","different sex couple","10"
"72515","some college","white","male","27.5","2","working - self-employed","republican","christian","not married","female","white","christian","51","republican","some college","14","40","partner earned more","no","yes","no","no","no","yes","no","yes","no","good","11","broke up","51","different sex couple","0"
"73603","high school","white","male","22.5","1","working - as a paid employee","republican","baptist","married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","60","other","bachelor's degree or higher ","21","31","partner earned more","no","no","no","no","no","yes","no","no","no","very poor","29","broke up","60","different sex couple","0"
"125346","bachelor's degree or higher","white","male","32.5","1","working - as a paid employee","republican","none","not married","female","white","none","34","other","less than high school","28","28","same amount","no","no","no","no","no","no","no","no","yes","fair","6","broke up","34","different sex couple","0"
"161715","high school","white","male","27.5","1","working - as a paid employee","democrat","christian","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","70","other","some college","19","20","same amount","no","no","no","no","no","no","no","no","yes","excellent","51","broke up","71","different sex couple","1"
"177386","bachelor's degree or higher","white","male","137.5","2","working - as a paid employee","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","41","other","high school","24","24","i earned more","no","no","no","no","no","no","no","yes","no","good","14","broke up","38","same-sex couple","3"
"203562","some college","white","male","45.0","1","disabled","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","male","white","none","54","other","bachelor's degree or higher ","54","54","i earned more","no","no","no","yes","no","no","no","no","no","fair","2","broke up","56","same-sex couple","2"
"209345","high school","white","male","112.5","4 or more","disabled","democrat","none","not married","female","white","none","29","other","high school","20","21","same amount","no","no","no","no","no","no","no","no","yes","fair","13","broke up","34","different sex couple","5"
"212505","less than high school","black","female","17.5","4 or more","disabled","democrat","christian","not married","male","white","none","53","democrat","bachelor's degree or higher ","49","50","partner earned more","no","no","no","yes","no","no","no","no","no","good","1","broke up","50","different sex couple","3"
"236195","less than high school","white","male","13.7","4 or more","not working","democrat","christian","not married","female","white","christian","18","democrat","less than high school","15","18","partner earned more","no","yes","no","no","no","no","no","no","no","good","0","broke up","19","different sex couple","1"
"253483","bachelor's degree or higher","hispanic","female","92.5","3","working - as a paid employee","democrat","none","not married","female","black","baptist","57","democrat","bachelor's degree or higher ","38","38","partner earned more","yes","no","no","no","no","no","no","no","no","good","10","broke up","48","same-sex couple","9"
"278413","bachelor's degree or higher","white","female","45.0","1","working - as a paid employee","democrat","none","not married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","42","democrat","bachelor's degree or higher ","41","41","partner earned more","no","no","no","no","no","no","no","no","yes","good","1","broke up","41","same-sex couple","1"
"284426","high school","white","female","55.0","2","working - as a paid employee","democrat","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","not married","female","black","baptist","31","democrat","some college","40","40","i earned more","yes","no","no","no","no","no","no","no","no","good","2","broke up","42","same-sex couple","11"
"370713","some college","white","male","17.5","1","disabled","republican","protestant (e.g., methodist, lutheran, presbyterian, episcopal)","married","female","white","protestant (e.g. methodist, lutheran, presbyterian, episcopal)","68","republican","some college","16","28","same amount","no","yes","no","no","no","no","no","no","no","fair","43","broke up","71","different sex couple","3"
"392315","some college","hispanic","female","17.5","1","working - as a paid employee","republican","christian","married","male","white","christian","25","other","less than high school","31","31","i earned more","no","no","no","no","no","no","no","no","yes","fair","0","broke up","31","different sex couple","6"
